Country,Fatal,Year
AUSTRALIA,N,2006
AUSTRALIA,N,2006
SOUTH AFRICA,N,2006
TONGA,Y,2006
USA,N,2006
SOUTH AFRICA,N,2006
AUSTRALIA,N,2006
AUSTRALIA,Y,2006
USA,N,2006
SOUTH AFRICA,N,2006
USA,N,2005
USA,N,2005
AUSTRALIA,N,2005
AUSTRALIA,N,2005
USA,N,2005
USA,N,2005
AUSTRALIA,N,2005
AUSTRALIA,N,2005
SOUTH AFRICA,N,2005
USA,N,2005
USA,N,2005
SOUTH AFRICA,N,2005
USA,N,2005
USA,N,2005
USA,N,2005
USA,N,2005
SOUTH AFRICA,N,2005
USA,N,2005
USA,N,2005
USA,N,2005
USA,N,2005
USA,N,2005
BAHAMAS,N,2005
SOUTH AFRICA,N,2005
AUSTRALIA,N,2005
AUSTRALIA,N,2005
AUSTRALIA,N,2005
USA,N,2005
USA,Y,2005
AUSTRALIA,N,2005
USA,N,2005
AUSTRALIA,N,2005
USA,N,2005
AUSTRALIA,Y,2005
USA,N,2005
USA,U,2005
USA,N,2005
USA,N,2005
USA,N,2005
USA,N,2005
USA,N,2005
USA,N,2005
USA,U,2005
USA,N,2005
USA,N,2005
USA,N,2005
USA,N,2005
USA,Y,2005
VANUATU,Y,2005
USA,U,2005
USA,N,2005
USA,N,2005
USA,U,2005
SOUTH AFRICA,Y,2005
USA,N,2005
USA,N,2005
USA,N,2005
SOUTH AFRICA,N,2005
AUSTRALIA,N,2005
USA,N,2005
USA,N,2005
USA,N,2005
AUSTRALIA,N,2005
AUSTRALIA,N,2005
AUSTRALIA,N,2005
USA,N,2005
USA,U,2005
USA,N,2005
SOUTH AFRICA,N,2005
AUSTRALIA,Y,2005
USA,N,2005
NEW ZEALAND,N,2005
AUSTRALIA,N,2005
USA,N,2005
USA,N,2005
USA,N,2005
BRAZIL,N,2005
CUBA,N,2005
AUSTRALIA,N,2005
AUSTRALIA,N,2005
NEW ZEALAND,N,2005
SRI LANKA,U,2004
AUSTRALIA,Y,2004
AUSTRALIA,Y,2004
SOUTH AFRICA,N,2004
SOUTH AFRICA,N,2004
SOUTH AFRICA,Y,2004
USA,N,2004
VANUATU,N,2004
